,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
108,Jamestown,80,AU,1547716596,20,-33.21,138.6,35.89,3.96
109,Puerto del Rosario,20,ES,1547713800,67,28.5,-13.86,16.0,4.6
110,Shubarkuduk,92,KZ,1547716597,90,49.15,56.49,-0.27,6.06
111,Sorland,90,NO,1547715000,100,67.67,12.69,-1.0,1.0
112,Hirara,75,JP,1547715600,77,24.8,125.28,18.0,6.2
113,Wamba,12,CD,1547716597,77,2.14,27.99,26.71,1.34
114,Fuerte Olimpo,0,BR,1547716598,68,-21.04,-57.87,26.86,3.14
115,Camacha,40,PT,1547713800,72,33.08,-16.33,15.0,8.2
116,Sobolevo,92,RU,1547716598,93,54.43,31.9,-1.97,9.44
117,Coquimbo,20,CL,1547715600,87,-29.95,-71.34,14.0,1.5
118,San Cristobal,90,EC,1547715600,100,-0.39,-78.55,12.0,1.5
119,Flin Flon,0,CA,1547716600,66,54.77,-101.88,-26.14,3.29
120,East London,75,ZA,1547715600,83,-33.02,27.91,24.0,8.2
121,Pecos,1,US,1547715300,60,31.42,-103.49,7.3,1.5
122,Santa Rosa,92,AR,1547716601,52,-36.62,-64.29,17.54,6.54
123,Biak,92,ID,1547716602,75,-0.91,122.88,29.36,1.46
124,Maragogi,88,BR,1547716604,100,-9.01,-35.22,24.46,1.24
125,Majene,92,ID,1547716604,92,-3.54,118.97,29.09,6.76
126,Saint-Francois,90,FR,1547713800,87,46.42,3.91,7.0,3.6
127,Obihiro,75,JP,1547715600,44,42.92,143.2,-8.0,4.6
128,Mbini,20,GQ,1547712000,83,1.58,9.62,29.0,3.1
129,Pringsewu,56,ID,1547716605,78,-5.36,104.98,28.86,1.49
130,Faanui,20,PF,1547716606,97,-16.48,-151.75,29.31,5.61
131,The Pas,1,CA,1547712000,76,53.82,-101.24,-24.0,5.1
132,Vrangel,0,RU,1547716606,100,42.73,133.08,-9.02,13.47
133,Hermanus,0,ZA,1547716607,54,-34.42,19.24,27.29,1.59
134,Pacific Grove,90,US,1547715300,74,36.62,-121.92,14.4,2.6
135,Maningrida,24,AU,1547716607,72,-12.05,134.23,30.61,5.31
136,Port-Gentil,90,GA,1547715600,88,-0.72,8.78,27.0,1.5
137,Guerrero Negro,76,MX,1547716608,100,27.97,-114.04,15.14,3.29
138,Abilene,20,US,1547715360,65,32.45,-99.73,10.1,2.6
139,Jinchang,44,CN,1547716608,81,38.52,102.19,-4.27,0.71
140,Dudinka,64,RU,1547716609,78,69.41,86.18,-19.92,5.71
141,Noumea,20,NC,1547715600,60,-22.28,166.46,24.0,5.7
142,Bathsheba,75,BB,1547715600,73,13.22,-59.52,25.0,8.2
143,Skagen,24,SE,1547715000,92,58.6,13.44,-4.0,2.1
144,Yuzhnyy,64,RU,1547716610,88,53.54,39.45,-5.14,6.01
145,Lebu,0,ET,1547712000,22,8.96,38.73,21.0,4.1
146,Lompoc,90,US,1547715900,93,34.64,-120.46,16.7,8.2
147,Inuvik,75,CA,1547712000,70,68.36,-133.71,-21.0,5.1
148,Mahebourg,75,MU,1547715600,74,-20.41,57.7,30.0,6.7
149,Soyo,75,AO,1547712000,83,-6.13,12.37,28.0,2.6
150,Manggar,80,ID,1547716612,100,-2.88,108.27,25.39,1.74
151,Hithadhoo,80,MV,1547716612,100,-0.6,73.08,25.79,3.49
152,Khatanga,80,RU,1547716613,81,71.98,102.47,-28.12,2.94
153,Oyama,20,JP,1547712000,39,36.31,139.8,8.0,3.1
154,Billings,40,US,1547715180,80,45.79,-108.5,-5.0,1.5
155,Bubaque,0,GW,1547716613,100,11.28,-15.83,24.81,5.66
156,Pedasi,0,PA,1547716614,96,7.53,-80.03,26.04,11.02
157,Ilam,90,IR,1547715600,98,33.64,46.42,1.0,3.1
158,Teya,5,MX,1547714700,88,21.05,-89.07,17.0,2.6
159,New Norfolk,40,AU,1547713800,64,-42.78,147.06,21.0,6.2
160,Kulhudhuffushi,44,MV,1547716615,100,6.62,73.07,27.11,2.71
161,Namatanai,56,PG,1547716615,100,-3.66,152.44,28.59,2.86
162,Fortuna,75,ES,1547713800,57,38.18,-1.13,11.0,4.6
163,Nocupetaro,88,MX,1547716616,84,19.05,-101.15,12.21,0.84
164,Dharur,0,IN,1547716617,38,18.82,76.11,29.79,1.69
165,Ixtapa,75,MX,1547714940,100,20.71,-105.21,22.0,1.04
166,Talnakh,68,RU,1547716617,77,69.49,88.39,-20.04,2.79
167,Leninsk,90,RU,1547715600,92,48.69,45.2,-7.0,4.0
168,Victoria,75,BN,1547713800,74,5.28,115.24,29.0,5.1
169,Turukhansk,80,RU,1547716619,80,65.8,87.96,-16.94,2.24
170,Touros,40,BR,1547712000,100,-5.2,-35.46,24.0,1.5
171,Klaksvik,80,FO,1547715000,100,62.23,-6.59,0.0,5.7
172,Svetlogorsk,90,RU,1547715600,92,53.14,59.15,-11.0,3.0
173,Skibbereen,20,IE,1547715600,86,51.55,-9.27,1.0,3.6
174,Sitka,20,US,1547716620,91,37.17,-99.65,-1.79,2.86
175,Laguna,12,MX,1547716621,89,27.52,-110.01,12.09,0.99
176,Snezhnogorsk,75,RU,1547715600,85,69.19,33.23,-10.0,1.11
177,Caravelas,44,BR,1547716621,100,-17.73,-39.27,27.14,5.34
178,Luderitz,0,NA,1547716621,83,-26.65,15.16,18.54,3.04
179,Tuttlingen,75,DE,1547715000,70,47.98,8.82,7.0,5.7
180,Kudat,75,MY,1547712000,78,6.89,116.84,28.0,5.7
181,Kavaratti,0,IN,1547716622,100,10.57,72.64,27.69,3.91
182,Lorengau,68,PG,1547716623,96,-2.02,147.27,29.09,5.66
183,Karatau,0,KZ,1547716623,64,43.18,70.46,9.69,2.49
184,San Borja,68,BO,1547716623,97,-14.86,-66.75,21.81,1.26
185,Port Blair,0,IN,1547716624,100,11.67,92.75,27.99,6.54
186,Rio Claro,0,BR,1547712000,88,-22.41,-47.56,20.0,1.5
187,Codrington,0,AU,1547712000,51,-28.95,153.24,29.0,7.7
188,Ust-Maya,8,RU,1547716625,0,60.42,134.54,-42.29,1.21
189,Arlit,0,NE,1547716625,71,18.74,7.39,17.61,2.04
190,Fleetwood,1,US,1547715360,62,40.45,-75.82,0.0,2.1
191,College,1,US,1547715480,82,64.86,-147.8,-16.7,1.66
192,Lithakia,20,GR,1547715000,71,37.72,20.83,13.0,3.19
193,Shahrud,80,IR,1547716626,53,36.42,54.97,12.86,3.14
194,Milkovo,0,BG,1547715000,84,41.53,24.68,8.0,0.36
195,Alice Springs,68,AU,1547713800,18,-23.7,133.88,39.0,4.6
196,Hualmay,80,PE,1547716627,100,-11.1,-77.61,18.64,1.01
197,Port Lincoln,100,AU,1547716627,62,-34.72,135.86,26.56,2.14
198,Sol-Iletsk,92,RU,1547716628,95,51.16,55.0,-2.12,2.26
199,Tabou,64,CI,1547716340,100,4.42,-7.36,27.04,5.54
200,Tuatapere,100,NZ,1547716628,100,-46.13,167.69,12.29,2.19
201,Katherine,20,AU,1547713800,47,-14.47,132.26,35.0,3.6
202,Bodden Town,36,KY,1547716629,100,19.28,-81.25,25.94,6.74
203,Vung Tau,0,VN,1547716629,86,10.35,107.08,27.99,10.47
204,Buenavista,80,CO,1547716630,96,4.36,-75.74,11.94,0.71
205,Sabang,12,PH,1547716630,82,13.72,123.58,25.96,4.64
206,Padang,20,ID,1547712000,74,-0.92,100.36,30.0,2.1
207,Seminole,1,US,1547715300,56,32.72,-102.64,8.6,5.1
208,Kysyl-Syr,56,RU,1547716631,51,63.9,122.77,-34.92,3.24
209,Byron Bay,0,AU,1547713800,65,-28.65,153.62,29.0,5.7
210,Sampit,44,ID,1547716632,88,-2.54,112.95,29.14,1.96
211,Ilulissat,12,GL,1547715000,60,69.22,-51.1,-13.0,4.1
212,Bonavista,56,CA,1547716498,100,48.65,-53.11,-1.64,7.44
213,San Angelo,1,US,1547716020,92,31.46,-100.44,5.6,3.1
214,Glyadyanskoye,80,RU,1547716633,91,54.91,65.09,-9.17,6.31
215,Mehamn,40,NO,1547715000,85,71.03,27.85,-4.0,4.6
216,Kaeo,0,NZ,1547716634,73,-35.1,173.78,18.74,5.11
217,Agadez,0,NE,1547712000,18,16.97,7.99,18.0,8.2
218,Ossora,56,RU,1547716634,100,59.24,163.07,-27.94,2.74
219,Sept-Iles,75,CA,1547712000,54,50.2,-66.38,-16.0,6.2
220,Gouyave,20,GD,1547712000,88,12.16,-61.73,25.0,7.2
221,Bambous Virieux,75,MU,1547715600,74,-20.34,57.76,30.0,6.7
222,Port Elizabeth,40,US,1547715360,63,39.31,-74.98,3.3,2.6
223,Darhan,24,MN,1547716636,60,49.49,105.92,-11.97,1.34
224,Chitral,0,PK,1547716636,87,35.85,71.79,-12.12,0.46
225,Jalu,24,LY,1547716531,50,29.03,21.55,13.29,3.14
226,Antofagasta,0,CL,1547715600,77,-23.65,-70.4,17.0,0.5
227,Lloydminster,90,CA,1547714940,70,53.28,-110.01,-19.0,4.6
228,Velykoploske,0,UA,1547715600,69,47.02,29.68,1.0,4.1
229,Torbay,90,CA,1547714820,92,47.66,-52.73,-1.0,5.7
230,Charyshskoye,80,RU,1547716638,87,51.4,83.56,-7.12,1.34
231,Mayumba,88,GA,1547716639,97,-3.44,10.65,27.64,2.86
232,Grakhovo,90,RU,1547715600,73,56.05,51.96,-5.0,8.0
233,Narsaq,80,GL,1547715000,45,60.91,-46.05,-4.0,2.6
234,Pimentel,56,BR,1547716640,98,-3.7,-45.5,22.24,1.14
235,Benghazi,76,LY,1547716640,100,32.12,20.07,13.61,4.99
236,Margate,40,AU,1547713800,64,-43.03,147.26,21.0,6.2
237,Grindavik,75,IS,1547715600,86,63.84,-22.43,0.0,4.1
238,Ostrovnoy,80,RU,1547716641,90,68.05,39.51,-6.87,2.84
239,Cilegon,40,ID,1547713800,55,-6.02,106.05,31.0,8.7
240,Nuuk,20,GL,1547715000,85,64.17,-51.74,-9.0,2.1
241,Banda Aceh,64,ID,1547716642,63,5.56,95.32,30.44,2.36
242,Asyut,0,EG,1547712000,56,27.18,31.19,7.0,2.1
243,Goure,0,NE,1547716643,30,13.98,10.27,21.24,3.94
244,Kruisfontein,8,ZA,1547716643,76,-34.0,24.73,24.06,4.59
245,Kolosovka,24,RU,1547716643,86,56.47,73.61,-9.92,4.31
246,Geraldton,75,CA,1547712000,69,49.72,-86.95,-23.0,2.6
247,Itoman,75,JP,1547715600,63,26.12,127.67,17.0,9.8
248,Tura,24,IN,1547716644,66,25.52,90.21,22.79,1.39
249,Yinchuan,0,CN,1547716645,37,38.48,106.21,0.21,1.56
250,Marawi,76,PH,1547716645,85,8.0,124.29,22.84,1.26
251,Raver,0,IN,1547716646,43,21.25,76.04,29.61,1.71
252,Ojuelos de Jalisco,80,MX,1547716646,92,21.86,-101.59,6.94,1.26
253,Kavieng,56,PG,1547716646,100,-2.57,150.8,29.39,1.79
254,Palmer,1,US,1547715480,91,61.6,-149.11,-1.7,2.1
255,Aktanysh,56,RU,1547716647,94,55.72,54.06,-2.39,5.86
256,Tiksi,56,RU,1547716647,46,71.64,128.87,-33.67,1.71
257,Sao Joao da Barra,0,BR,1547715600,83,-21.64,-41.05,25.0,9.04
258,Norman Wells,75,CA,1547712000,55,65.28,-126.83,-14.0,11.3
259,Upernavik,44,GL,1547716648,100,72.79,-56.15,-17.07,5.19
260,Kastamonu,75,TR,1547715000,91,41.38,33.78,0.0,5.1
261,Sirjan,24,IR,1547716398,54,29.44,55.67,15.04,8.46
262,Sola,90,FI,1547715000,92,62.78,29.36,-12.0,2.1
263,Hamilton,75,BM,1547715300,77,32.3,-64.78,15.0,2.1
264,Kodiak,90,US,1547716260,100,39.95,-94.76,0.0,2.6
265,Lulea,0,SE,1547715000,76,65.58,22.15,-22.0,2.1
266,Isangel,100,VU,1547716650,100,-19.55,169.27,24.61,8.59
267,Ingham,64,AU,1547716650,93,-18.65,146.16,26.46,4.06
268,Bayan,0,MN,1547716651,43,47.25,107.54,-10.07,5.49
269,Pangnirtung,44,CA,1547716651,81,66.15,-65.72,-28.32,1.16
270,Hondo,90,US,1547715300,98,29.35,-99.14,14.4,4.1
271,Shitanjing,12,CN,1547716652,46,39.23,106.34,-1.72,1.04
272,Keetmanshoop,0,NA,1547712000,12,-26.57,18.15,29.0,4.1
273,Inhumas,20,BR,1547715600,94,-16.36,-49.5,21.0,1.5
274,Mazamari,76,PE,1547716652,98,-11.33,-74.53,17.34,0.39
275,Lavrentiya,80,RU,1547716653,100,65.58,-170.99,-8.47,1.21
276,Nusaybin,90,TR,1547715600,93,37.08,41.21,6.0,3.1
277,Nishihara,1,JP,1547715600,57,35.74,139.53,10.0,2.01
278,Shimoda,20,JP,1547715600,52,34.7,138.93,7.0,7.7
279,Caruaru,88,BR,1547716654,99,-8.28,-35.97,21.11,1.71
280,Vao,88,EE,1547716654,100,59.1,26.19,3.09,5.56
281,Altay,48,CN,1547716655,87,47.83,88.13,-9.94,1.24
282,Barranca,88,PE,1547716655,100,-10.75,-77.76,20.59,3.91
283,Ust-Kuyga,0,RU,1547716655,0,70.0,135.55,-52.77,1.24
284,Pauini,88,BR,1547716656,97,-7.71,-67.0,23.89,0.69
285,Bucerias,75,MX,1547714940,100,20.76,-105.33,22.0,3.84
286,Marrakesh,0,MA,1547713800,75,31.63,-7.99,6.0,1.0
287,Axim,12,GH,1547716657,92,4.87,-2.24,29.61,6.39
288,Anajatuba,44,BR,1547716657,100,-3.26,-44.62,22.86,1.06
289,Locri,5,IT,1547711700,53,38.24,16.26,10.0,1.0
290,Monywa,0,MM,1547716659,65,22.12,95.13,26.46,2.71
291,ChengDe,0,CN,1547716659,28,40.97,117.93,-2.52,1.36
292,Gizo,20,IL,1547715000,51,31.8,34.94,16.0,8.7
293,Carnarvon,0,ZA,1547716659,39,-30.97,22.13,27.49,1.89
294,Kelamangalam,0,IN,1547715600,23,12.61,77.86,28.0,3.6
295,Yerbogachen,76,RU,1547716660,81,61.28,108.01,-18.92,2.94
296,Saint-Georges,0,CA,1547716522,50,46.12,-70.67,-19.77,3.06
297,Havoysund,75,NO,1547715000,73,71.0,24.66,-5.0,8.7
298,Santa Fe,36,AR,1547716661,87,-31.62,-60.7,20.46,4.41
299,Hami,32,CN,1547716662,70,42.84,93.51,-2.12,1.56
300,Ramsar,90,IR,1547715600,93,36.92,50.64,10.0,6.2
301,Roebourne,44,AU,1547716662,27,-20.77,117.15,38.56,3.76
302,Barbate,75,ES,1547715000,81,36.19,-5.92,12.0,3.6
303,Nouadhibou,0,MR,1547716663,79,20.93,-17.03,15.31,8.64
304,Goderich,76,CA,1547716663,86,43.74,-81.71,-8.54,2.56
305,Lichinga,75,MZ,1547715600,65,-13.3,35.25,25.0,2.6
306,San Policarpo,80,PH,1547716664,91,12.18,125.51,25.96,6.16
307,Coihaique,0,CL,1547715600,81,-45.58,-72.07,6.0,1.5
308,Kenora,90,CA,1547715360,70,49.76,-94.48,-18.0,1.26
309,Buncrana,40,GB,1547715000,86,55.14,-7.45,4.0,2.1
310,Gari,64,RU,1547716665,60,59.43,62.35,-3.17,5.16
311,Ayaviri,92,PE,1547716665,94,-14.88,-70.59,2.09,1.36
312,Saint George,0,GR,1547715000,37,39.45,22.34,11.0,2.1
313,El Alto,75,BO,1547715600,93,-16.5,-68.19,6.0,2.1
314,Pisco,0,PE,1547715600,94,-13.71,-76.2,20.0,5.7
315,Lasa,20,CY,1547713800,44,34.92,32.53,15.0,5.1
316,Julfa,75,AZ,1547715600,53,38.95,45.63,10.0,1.0
317,Cockburn Town,68,TC,1547716667,100,21.46,-71.14,25.06,3.29
318,Port Macquarie,0,AU,1547712000,58,-31.43,152.91,28.0,6.7
319,Xining,8,CN,1547716668,18,36.62,101.77,3.56,1.21
320,Gawler,40,AU,1547713800,45,-34.6,138.75,29.0,5.7
321,Eyl,8,SO,1547716668,82,7.98,49.82,26.24,4.54
322,Nynashamn,75,SE,1547715000,86,58.9,17.95,-2.0,5.1
323,Ketchikan,20,US,1547715660,92,55.34,-131.65,6.1,2.1
324,Sucua,20,EC,1547716669,92,-2.46,-78.17,15.94,0.61
325,Wagar,0,US,1547716669,88,31.44,-87.99,2.46,1.06
326,Floriano,0,BR,1547716508,89,-6.77,-43.02,20.31,1.14
327,Neyshabur,0,IR,1547716670,85,36.21,58.79,15.24,3.81
328,Salalah,0,OM,1547715000,47,17.01,54.1,27.0,3.6
329,Cherskiy,76,RU,1547716671,78,68.75,161.3,-31.89,1.36
330,Xingyi,0,CN,1547716671,72,24.19,102.82,13.49,1.89
331,Vyartsilya,80,RU,1547716671,90,62.18,30.69,-9.54,3.36
332,Caxito,0,BR,1547715600,94,-22.65,-42.51,24.0,2.6
333,Voi,20,KE,1547716672,70,-3.4,38.57,27.99,1.69
334,Mayang Imphal,20,IN,1547715600,33,24.62,93.88,23.0,2.1
335,Acapulco,75,MX,1547714700,78,16.86,-99.88,24.0,1.69
336,Manokwari,56,ID,1547716673,100,-0.87,134.08,26.59,3.46
337,Moree,0,AU,1547712000,19,-29.46,149.84,38.0,5.7
338,Dali,0,CN,1547716674,54,25.6,100.24,14.11,0.94
339,La Ronge,5,CA,1547712000,75,55.1,-105.3,-26.0,3.6
340,Christchurch,80,NZ,1547715600,88,-43.53,172.64,17.0,0.5
341,Krasnooktyabrskiy,0,RU,1547715600,64,44.93,38.37,3.0,3.0
342,Saint Anthony,90,US,1547715360,88,43.97,-111.68,0.0,2.26
343,Kargasok,80,RU,1547716675,80,59.06,80.87,-9.02,1.56
344,Tabuk,0,PH,1547716675,61,17.41,121.44,22.31,1.29
345,Kutum,0,SD,1547716676,40,14.2,24.66,18.34,4.16
346,Road Town,1,VG,1547715180,84,18.42,-64.62,23.3,3.1
347,Comodoro Rivadavia,0,AR,1547715600,43,-45.87,-67.48,13.0,2.1
348,Solano,0,PH,1547716677,62,16.52,121.18,22.49,1.29
349,Leningradskiy,76,RU,1547716677,97,69.38,178.42,-20.67,8.21
350,Dubti,0,ET,1547716677,37,11.74,41.09,28.19,1.81
351,Tilichiki,0,RU,1547716678,62,60.47,166.1,-36.97,1.39
352,Melfi,0,IT,1547711700,70,41.0,15.66,8.0,2.1
353,Plauen,90,DE,1547715000,93,50.5,12.13,5.0,7.2
354,Peringat,75,MY,1547712000,78,5.99,102.3,28.0,5.7
355,Half Moon Bay,20,US,1547716500,67,37.46,-122.43,15.0,8.7
356,Senno,90,RU,1547715600,86,57.76,27.95,3.0,7.0
357,Lixourion,40,GR,1547715000,62,38.2,20.43,13.0,2.51
358,Rosarito,88,CO,1547716680,100,4.91,-75.23,15.79,0.76
359,Ribeira Grande,40,PT,1547713800,87,38.52,-28.7,16.0,2.6
360,Conceicao da Barra,48,BR,1547716681,89,-18.59,-39.73,26.94,4.21
361,Atambua,92,ID,1547716681,100,-9.11,124.89,24.19,3.54
362,Paredon,24,BO,1547716681,87,-18.93,-65.16,10.29,1.01
363,Tazovskiy,56,RU,1547716682,68,67.47,78.7,-23.04,4.86
364,Alofi,92,NU,1547715600,88,-19.06,-169.92,27.0,3.6
365,Dingle,48,PH,1547716682,63,11.0,122.67,27.59,6.91
366,Kinango,40,KE,1547712000,59,-4.13,39.32,33.0,3.1
367,Taltal,32,CL,1547716683,100,-25.41,-70.49,11.04,0.34
368,Mendi,0,ET,1547716683,26,9.8,35.1,29.09,2.04
369,Pangai,12,TO,1547716684,99,-19.8,-174.35,27.99,2.69
370,Foggia,0,IT,1547711700,70,41.46,15.54,8.0,2.1
371,Loa Janan,68,ID,1547716684,85,-0.58,117.09,29.11,1.29
372,Dakoro,0,NE,1547716685,30,14.51,6.76,20.04,4.94
